"Player;";"Position;";"Team"
"Telea, Mark";"OB";"BLU"
"Campbell, Jock";"OB";"RED"
"Havili, David";"OB";"CRU"
"Banks, Thomas";"OB";"BRU"
"Barrett, Jordie";"OB";"HUR"
"Perofeta, Stephen";"OB";"BLU"
"Laumape, Ngani";"M";"HUR"
"Sotutu, Hoskins";"LF";"BLU"
"Reece, Sevu";"OB";"CRU"
"Haylett-Petty, Dane";"OB";"REB"
"Naisarani, Isi";"LF";"REB"
"Alaimalo, Solomon";"OB";"HIG"
"Ioane, Rieko";"M";"BLU"
"Front Row, Reds";"FR";"RED"
"Wright, Tom";"OB";"BRU"
"Feauai-Sautia, Chris";"OB";"RED"
"McDermott, Tate";"HB";"RED"
"Fainga'anuku, Leicester";"OB";"CRU"
"McKenzie, Damian";"OB";"CHI"
"O'Connor, James";"FH";"RED"
"Kata, Solomone";"OB";"BRU"
"Faiane, TJ";"M";"BLU"
"Stevenson, Shaun";"OB";"CHI"
"Harrison, Will";"FH";"WAR"
"Lolesio, Noah";"FH";"BRU"
"Wilson, Harry";"LF";"RED"
"Goodhue, Jack";"M";"CRU"
"Salakaia-Loto, Lukhan";"LF";"RED"
"Nawaqanitawase, Mark";"OB";"WAR"
"Boshier, Lachlan";"LF";"CHI"
"Christie, Tom";"LF";"CRU"
"Front Row, Waratahs";"FR";"WAR"
"Aso, Vince";"OB";"HUR"
"Paisami, Hunter";"M";"RED"
"Collins, Michael";"OB";"HIG"
"Nareki, Jona";"OB";"HIG"
"Valetini, Rob";"LF";"BRU"
"Simone, Irae";"M";"BRU"
"Front Row, Crusaders";"FR";"CRU"
"Mikaele Tu'u, Marino";"LF";"HIG"
"Ioane, Josh";"FH";"HIG"
"Lienert-Brown, Anton";"M";"CHI"
"Weber, Brad";"HB";"CHI"
"Samu, Pete";"LF";"BRU"
"Stewart, Hamish";"M";"RED"
"Maddocks, Jack";"OB";"WAR"
"Hegarty, Bryce";"OB";"RED"
"Toomua, Matt";"FH";"REB"
"Tupaea, Quinn";"M";"CHI"
"Grace, Cullen";"LF";"CRU"
"Koroibete, Marika";"OB";"REB"
"Front Row, Brumbies";"FR";"BRU"
"Kuridrani, Tevita";"M";"FOR"
"Black, Otere";"FH";"BLU"
"Jordan, Will";"OB";"CRU"
"Evans, Gareth";"LF";"HUR"
"Wright, Liam";"LF";"RED"
"Dempsey, Jack";"LF";"WAR"
"Mo'unga, Richie";"FH";"CRU"
"Hardwick, Richard";"LF";"REB"
"Kirifi, Du'Plessis";"LF";"HUR"
"Sowakula, Pita";"LF";"CHI"
"Robinson, Tom";"LF";"BLU"
"Dunshea, Mitchell";"L";"CRU"
"Sanders, Tom";"LF";"CRU"
"Front Row, Hurricanes";"FR";"HUR"
"Tiatia, Chase";"OB";"CHI"
"Newsome, Alex";"OB";"WAR"
"Havili, Sione";"LF";"CRU"
"Papali'i, Dalton";"LF";"BLU"
"Barrett, Scott";"L";"CRU"
"Wells, Michael";"LF";"REB"
"Muirhead, Andy";"OB";"BRU"
"Goosen, Wes";"OB";"HUR"
"Nock, Sam";"HB";"BLU"
"Hunt, Mitch";"FH";"HIG"
"Smith, Aaron";"HB";"HIG"
"Powell, Joe";"HB";"REB"
"Ramm, James";"OB";"WAR"
"Lonergan, Ryan";"HB";"BRU"
"Gordon, Jake";"HB";"WAR"
"Fifita, Vaea";"LF";"HUR"
"Front Row, Rebels";"FR";"REB"
"Daugunu, Filipo";"OB";"RED"
"Drummond, Mitchell";"HB";"CRU"
"Wainui, Sean";"OB";"CHI"
"Foketi, Lalakai";"M";"WAR"
"McReight, Fraser";"LF";"RED"
"Scott-Young, Angus";"LF";"RED"
"Cusack, Thomas";"LF";"BRU"
"Walker-Leawere, Isaia";"L";"HUR"
"Cane, Sam";"LF";"CHI"
"Brown, Mitchell";"LF";"CHI"
"Booth, Jamie";"HB";"HUR"
"Hall, Bryn";"HB";"CRU"
"Nankivell, Alex";"M";"CHI"
"Swinton, Lachlan";"LF";"WAR"
"Toiroa Tahuriorangi, Te";"HB";"CHI"
"Neville, Cadeyrn";"L";"BRU"
"Gibson, Blake";"LF";"BLU"
"Ioane, Akira";"LF";"BLU"
"Frizell, Shannon";"LF";"HIG"
"Front Row, Chiefs";"FR";"CHI"
"Lentjes, James";"LF";"HIG"
"Romano, Luke";"L";"CRU"
"Plummer, Harry";"FH";"BLU"
"Cowley-Tuioti, Gerard";"L";"BLU"
"Trask, Kaleb";"FH";"CHI"
"Front Row, Highlanders";"FR";"HIG"
"Hunt, Dillon";"LF";"HIG"
"Flanders, Devan";"LF";"HUR"
"Karpik, Mitch";"LF";"CHI"
"Tuipulotu, Patrick";"L";"BLU"
"Blyth, Angus";"L";"RED"
"Lomani, Frank";"HB";"REB"
"Blackwell, James";"L";"HUR"
"Pulu, Toni";"OB";"FOR"
"Ben-Nicholas, Teariki";"LF";"HIG"
"Ah Kuoi, Naitoa";"L";"CHI"
"McLeod, Dallas";"M";"CRU"
"Bridge, George";"OB";"CRU"
"Ennor, Braydon";"M";"CRU"
"Narawa, Emoni";"OB";"BLU"
"Front Row, Blues";"FR";"BLU"
"Cameron, Brett";"FH";"CRU"
"Burke, Fergus";"FH";"CRU"
"Petaia, Jordan";"M";"RED"
"Douglas, Whetu";"LF";"CRU"
"Strang, Theo";"HB";"REB"
"Taumateine, Jonathan";"HB";"HUR"
"Mataele, Manasa";"OB";"CRU"
"Garden-Bachop, Jackson";"FH";"HUR"
"Selby-Rickit, Maanaki";"L";"HIG"
"Scrafton, Scott";"L";"HUR"
"Leota, Robert";"LF";"REB"
"McCauley, Ryan";"L";"FOR"
"Prinsep, Reed";"LF";"HUR"
"Dickson, Josh";"L";"HIG"
"Hammington, Kayne";"HB";"HIG"
"Magnay, Campbell";"M";"REB"
"Sorovi, Moses";"HB";"RED"
"Haylett-Petty, Ross";"LF";"REB"
"Pasitoa, Reesjan";"FH";"BRU"
"Ruru, Jonathan";"HB";"BLU"
"Goodhue, Joshua";"L";"BLU"
"Proctor, Billy";"M";"HUR"
"Pierce, Jacob";"L";"BLU"
"Mitchell, Liam";"L";"HUR"
"Enari, Ereatara";"HB";"CRU"
"Punivai, Ngane";"OB";"HIG"
"Ikitau, Len";"M";"BRU"
"Hodge, Reece";"M";"REB"
"Frost, Nick";"L";"BRU"
"Gregory, Scott";"OB";"HIG"
"Kuenzle, Bayley";"FH";"BRU"
"Parkinson, Paripari";"L";"HIG"
"Tizzano, Carlo";"LF";"WAR"
"Jacobson, Luke";"LF";"CHI"
"Moeroa, Tepai";"M";"WAR"
"Umaga-Jensen, Peter";"M";"HUR"
"Uru, Seru";"LF";"RED"
"Swain, Darcy";"L";"BRU"
"Front Row, Force";"FR";"FOR"
"McDonald, Michael";"HB";"FOR"
"Tomkinson, Sio";"M";"HIG"
"Lam, AJ";"OB";"BLU"
"Savea, Ardie";"LF";"HUR"
"Sullivan, Bailyn";"M";"CHI"
"Donaldson, Ben";"FH";"WAR"
"Harmon, Billy";"LF";"HIG"
"Lacey, Brad";"OB";"FOR"
"Wilkin, Brad";"LF";"REB"
"Iose, Brayden";"LF";"HUR"
"Evans, Bryn";"L";"HIG"
"Gatland, Bryn";"FH";"CHI"
"Stander, Brynard";"LF";"FOR"
"Ralston, Byron";"OB";"FOR"
"Clarke, Caleb";"OB";"BLU"
"Gordon, Carter";"FH";"REB"
"Gamble, Charlie";"LF";"WAR"
"Fihaki, Chay";"OB";"CRU"
"Garden-Bachop, Connor";"OB";"HIG"
"Toala, Danny";"M";"HUR"
"Miotti, Domingo";"FH";"FOR"
"Nanai-Seturo, Etene";"OB";"CHI"
"Blackadder, Ethan";"LF";"CRU"
"Lee-Warner, Fergus";"L";"FOR"
"Paea, Fetuli";"M";"HIG"
"Christie, Finlay";"HB";"BLU"
"Fakatava, Folau";"HB";"HIG"
"Makara, Grason";"M";"FOR"
"Robertson, Henry";"HB";"WAR"
"Taefu, Henry";"M";"FOR"
"Sinclair, Hugh";"LF";"WAR"
"Prior, Ian";"HB";"FOR"
"Vudogo, Ilikena";"M";"REB"
"Punivai, Isaiah";"M";"CRU"
"Fines, Issak";"HB";"BRU"
"Perese, Izaia";"M";"WAR"
"Grant, Jack";"HB";"WAR"
"McGregor, Jack";"FH";"FOR"
"Whetton, Jack";"L";"WAR"
"Pugh, Jackson";"L";"FOR"
"Ratumaitavuki-Kneepkens, Jacob";"OB";"BLU"
"Brown, Jahrome";"LF";"BRU"
"McIntyre, Jake";"FH";"FOR"
"Strachan, Jake";"FH";"FOR"
"Tuttle, James";"HB";"REB"
"Skelton, Jeremy";"LF";"REB"
"Thrush, Jeremy";"L";"FOR"
"Williams, Jeremy";"L";"WAR"
"Walton, Joey";"M";"WAR"
"Lowe, Jonah";"OB";"CHI"
"Macilai-Tori, Jone";"OB";"BLU"
"Lance, Jono";"FH";"FOR"
"Kemeny, Josh";"LF";"REB"
"Lord, Josh";"L";"CHI"
"Savea, Julian";"OB";"HUR"
"Koteka, Kane";"LF";"FOR"
"Le'aupepe, Kane";"L";"HUR"
"Boshier, Kaylum";"LF";"CHI"
"Himeno, Kazuki";"LF";"HIG"
"Godwin, Kyle";"M";"FOR"
"Anderson, Lachlan";"OB";"REB"
"McWhannell, Laghlan";"L";"CHI"
"Holland, Lewis";"OB";"REB"
"Squire, Liam";"LF";"HIG"
"Visinia, Lolagi";"OB";"HUR"
"Campbell, Luke";"HB";"HUR"
"Hansen, Mackenzie";"OB";"BRU"
"Brache, Marcel";"M";"FOR"
"Douglas, Max";"L";"WAR"
"Milner-Skudder, Nehe";"OB";"HIG"
"White, Nic";"HB";"BRU"
"Callan, Ollie";"LF";"FOR"
"Patafilo, Pepesana";"M";"HUR"
"Strange, Quinten";"L";"CRU"
"Kahui, Richard";"M";"FOR"
"Reihana, Rivez";"FH";"CHI"
"Kearney, Rob";"OB";"FOR"
"Love, Ruben";"OB";"HUR"
"Rayasi, Salesi";"OB";"HUR"
"Caird, Sam";"L";"WAR"
"Darry, Sam";"L";"BLU"
"Gilbert, Sam";"OB";"HIG"
"Whitelock, Sam";"L";"CRU"
"Wykes, Sam";"L";"WAR"
"Hickey, Simon";"FH";"HUR"
"Parker, Simon";"LF";"CHI"
"Misiloi, Sione";"LF";"HIG"
"Cummins, Steven";"L";"REB"
"Vunivalu, Suliasi";"OB";"RED"
"Plumtree, Taine";"L";"BLU"
"Edmed, Tane";"FH";"WAR"
"Tele'a, Tanielu";"M";"BLU"
"Umaga-Jensen, Thomas";"M";"HIG"
"Anstee, Tim";"LF";"FOR"
"Pincus, Tom";"OB";"REB"
"Cubelli, Tomas";"HB";"FOR"
"Lezana, Tomas";"LF";"FOR"
"Hosea, Trevor";"L";"REB"
"Reilly, Triston";"OB";"WAR"
"Tualima, Tuaina";"LF";"RED"
"Vaa'i, Tupou";"L";"CHI"
"Koroi, Vilimoni";"OB";"HIG"
"Harris, Will";"LF";"WAR"
"Roe, Xavier";"HB";"CHI"
"Tonumaipea, Young";"M";"REB"
"Sullivan, Zarn";"OB";"BLU"
"Ranger, Rene";"M";"CRU"
"McKay, Josh";"OB";"CRU"
"Wallis, Sam";"LF";"RED"
"Flook, Joshua";"M";"RED"
"Droasese, Ilaisa";"M";"RED"
"Creighton, Hudson";"M";"RED"
"Henry, Isaac";"M";"RED"
"Tapine, Reece";"M";"BRU"
"Reimer, Luke";"LF";"BRU"
"Creighton, Lawson";"OB";"RED"
"Grealy, Mac";"OB";"RED"
"Grant, Ben";"L";"RED"
"Smith, Ryan";"L";"RED"
"Tucker, James";"L";"BRU"
"Hooper, Thomas";"L";"BRU"
"Scott, Rory";"LF";"BRU"
"Thomas, Kalani";"HB";"RED"
"Albert, Lachlan";"HB";"BRU"
